證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
3057,2015年第3季,,,                607368,,                     89,                607457,,,                349883,                349883,                257574,                257574,,,                 98805,,                 57456,,                113440,                269701,                -12127,,,                  1068,,                 32190,,                    475,                 32783,                 20656,,                    957,                 19699,                 19699,,,                 86824,                  1438,                 88262,                 88262,                107961,,                 19795,                    -96,,                107696,                    265,,                              0.12,                              0.12,,                              0.12,                              0.12,,,
3057,2015年第2季,,,                692413,,                     45,                692458,,,                384912,                384912,                307546,                307546,,,                102477,,                 55012,,                123781,                281270,                 26276,,,                  2210,,                -10553,,                    995,                 -9338,                 16938,,                 12596,                  4342,                  4342,,,                -11393,                    256,                -11137,                -11137,                 -6795,,                  4295,                     47,,                 -6821,                     26,,                              0.03,                              0.03,,                              0.03,                              0.03,,,
3057,2015年01月01日至2015年09月30日,,,              2179399,,                    145,              2179544,,,              1236455,              1236455,                943089,                943089,,,                309008,,                175176,,                362043,                846227,                 96862,,,                  5494,,                 13819,,                  2293,                 17020,                113882,,                 38492,                 75390,                 75390,,,                 41883,                  1764,                 43647,                 43647,                119037,,                 75312,                     78,,                118770,                    267,,                              0.47,                              0.47,,                              0.46,                              0.46,,,
3057,2015年01月01日至2015年06月30日,,,              1572031,,                     56,              1572087,,,                886572,                886572,                685515,                685515,,,                210203,,                117720,,                248603,                576526,                108989,,,                  4426,,                -18371,,                  1818,                -15763,                 93226,,                 37535,                 55691,                 55691,,,                -44941,                    326,                -44615,                -44615,                 11076,,                 55517,                    174,,                 11074,                      2,,                              0.35,                              0.35,,                              0.34,                              0.34,,,
3057,2015年01月01日至2015年03月31日,,,                879618,,                     11,                879629,,,                501660,                501660,                377969,                377969,,,                107726,,                 62708,,                124822,                295256,                 82713,,,                  2216,,                 -7818,,                    823,                 -6425,                 76288,,                 24939,                 51349,                 51349,,,                -33548,                     70,                -33478,                -33478,                 17871,,                 51222,                    127,,                 17895,                    -24,,                              0.32,                              0.32,,                              0.31,                              0.31,,,
3057,2014年第3季,,,                957803,,                    350,                958153,,,                525920,                525920,                432233,                432233,,,                106731,,                 60516,,                146579,                313826,                118407,,,                  1312,,                  2809,,                    683,                  3438,                121845,,                 21043,                100802,                100802,,,                 10556,                     24,                 10580,                 10580,                111382,,                100530,                    272,,                111414,                    -32,,                              0.63,                              0.63,,                              0.61,                              0.61,,,
3057,2014年第2季,,,                967533,,                     55,                967588,,,                504848,                504848,                462740,                462740,,,                119327,,                 59637,,                143887,                322851,                139889,,,                  2128,,                -13605,,                    752,                -12229,                127660,,                 33436,                 94224,                 94224,,,                -18862,                     13,                -18849,                -18849,                 75375,,                 93949,                    275,,                 74795,                    580,,                              0.59,                              0.59,,                              0.57,                              0.57,,,
3057,2014年度,,,              3817606,,                    647,              3818253,,,              2067839,              2067839,              1750414,              1750414,,,                455090,,                245855,,                591881,              1292826,                457588,,,                  6550,,                 38987,,                  3648,                 41889,                499477,,                 90494,                408983,                408983,,,,,,                 47976,                456959,,                407957,                  1026,,                453759,                  3200,,                              2.56,                              2.56,,                              2.46,                              2.46,                 45635,                      3,                  2338
3057,2014年01月01日至2014年09月30日,,,              2809817,,                    530,              2810347,,,              1534139,              1534139,              1276208,              1276208,,,                336524,,                179894,,                427821,                944239,                331969,,,                  4826,,                  9054,,                  2915,                 10965,                342934,,                 64353,                278581,                278581,,,                  7691,                     -2,                  7689,                  7689,                286270,,                277849,                    732,,                283523,                  2747,,                              1.74,                              1.74,,                              1.68,                              1.68,,,
3057,2014年01月01日至2014年06月30日,,,              1852014,,                    180,              1852194,,,              1008219,              1008219,                843975,                843975,,,                229793,,                119378,,                281242,                630413,                213562,,,                  3514,,                  6245,,                  2232,                  7527,                221089,,                 43310,                177779,                177779,,,                 -2865,                    -26,                 -2891,                 -2891,                174888,,                177319,                    460,,                172109,                  2779,,                              1.11,                              1.11,,                              1.07,                              1.07,,,
3057,2014年01月01日至2014年03月31日,,,                884481,,                    125,                884606,,,                503371,                503371,                381235,                381235,,,                110466,,                 59741,,                137355,                307562,                 73673,,,                  1386,,                 19850,,                  1480,                 19756,                 93429,,                  9874,                 83555,                 83555,,,                 15997,                    -39,                 15958,                 15958,                 99513,,                 83370,                    185,,                 97314,                  2199,,                              0.52,                              0.52,,                              0.50,                              0.50,,,
3057,2013年第3季,,,                884529,,                 11929,                896458,,,                504429,                504429,                392029,                392029,,,                 89528,,                 63599,,                143029,                296156,                 95873,,,                  1366,,                 -9208,,                  1976,                 -9818,                 86055,,                 13193,                 72862,                 72862,,,,,,                 -7794,                 65068,,                 74220,                 -1358,,                 65569,                   -501,,                              0.50,                              0.50,,                              0.47,                              0.47,                 -7794,                              0,
3057,2013年第2季,,,                896850,,                 10676,                907526,,,                520227,                520227,                387299,                387299,,,                 91392,,                 58521,,                139568,                289481,                 97818,,,                  1767,,                 10147,,                  2790,                  9124,                106942,,                 12921,                 94021,                 94021,,,,,,                  5974,                 99995,,                 93033,                    988,,                 98945,                  1050,,                              0.63,                              0.63,,                              0.59,                              0.59,                  5974,                              0,
3057,2013年度,,,              3586293,,                 30241,              3616534,,,              2090824,              2090824,              1525710,              1525710,,,                366427,,                231581,,                557823,              1155831,                369879,,,                  5822,,                 12592,,                 10259,                  8155,                378034,,                 46747,                331287,                331287,,,,,,                 22419,                353706,,                330516,                    771,,                351748,                  1958,,                              2.22,                              2.22,,                              2.12,                              2.12,                 24136,                     39,                 -1756
3057,2013年07月01日至2013年09月30日,,,                884529,,                 11929,                896458,,,                504429,                504429,                392029,                392029,,,                 89528,,                 63599,,                143029,                296156,                 95873,,,                  1366,,                 -9208,,                  1976,                 -9818,                 86055,,                 13193,                 72862,                 72862,,,,,,                 -7794,                 65068,,                 74220,                 -1358,,                 65569,                   -501,,                              0.50,                              0.50,,                              0.47,                              0.47,                 -7794,                              0,
3057,2013年04月01日至2013年06月30日,,,                896850,,                 10676,                907526,,,                520227,                520227,                387299,                387299,,,                 91392,,                 58521,,                139568,                289481,                 97818,,,                  1767,,                 10147,,                  2790,                  9124,                106942,,                 12921,                 94021,                 94021,,,,,,                  5974,                 99995,,                 93033,                    988,,                 98945,                  1050,,                              0.63,                              0.63,,                              0.59,                              0.59,                  5974,                              0,
3057,2013年01月01日至2013年12月31日,,,              3586293,,                 30241,              3616534,,,              2090824,              2090824,              1525710,              1525710,,,                366427,,                231581,,                557823,              1155831,                369879,,,                  5822,,                 12592,,                 10259,                  8155,                378034,,                 46747,                331287,                331287,,,,,,                 22419,                353706,,                330516,                    771,,                351748,                  1958,,                              2.22,                              2.22,,                              2.11,                              2.11,                 24136,                     39,                 -1756
3057,2013年01月01日至2013年09月30日,,,              2626325,,                 29907,              2656232,,,              1538459,              1538459,              1117773,              1117773,,,                262086,,                178742,,                411612,                852440,                265333,,,                  3995,,                  4299,,                  7514,                    780,                266113,,                 33251,                232862,                232862,,,,,,                 12462,                245324,,                232328,                    534,,                243625,                  1699,,                              1.57,                              1.57,,                              1.51,                              1.51,                 12462,                              0,
3057,2013年01月01日至2013年06月30日,,,              1741796,,                 17978,              1759774,,,              1034030,              1034030,                725744,                725744,,,                172558,,                115143,,                268583,                556284,                169460,,,                  2629,,                 13507,,                  5538,                 10598,                180058,,                 20058,                160000,                160000,,,,,,                 20256,                180256,,                158108,                  1892,,                178056,                  2200,,                              1.07,                              1.07,,                              1.05,                              1.05,                 20256,                              0,
3057,2013年01月01日至2013年03月31日,,,                844946,,                  7302,                852248,,,                513803,                513803,                338445,                338445,,,                 81166,,                 56622,,                129015,                266803,                 71642,,,                    862,,                  3360,,                  2748,                  1474,                 73116,,                  7137,                 65979,                 65979,,,,,,                 14282,                 80261,,                 65075,                    904,,                 79111,                  1150,,                              0.44,                              0.44,,                              0.44,                              0.44,                 14282,                              0,
3057,2012年07月01日至2012年09月30日,,,                709003,,                  7797,                716800,,,                426895,                426895,                289905,                289905,,,                 76316,,                 49414,,                128932,                254662,                 35243,,,                  1321,,                 -9809,,                  3322,                -11810,                 23433,,                    840,                 22593,                 22593,,,,,,                 -7768,                 14825,,                 22063,                    530,,                 14465,                    360,,                              0.15,                              0.15,,                              0.15,                              0.15,                 -7758,                    -10,
3057,2012年04月01日至2012年06月30日,,,                816487,,                 20223,                836710,,,                526919,                526919,                309791,                309791,,,                 93872,,                 44640,,                146067,                284579,                 25212,,,                  1507,,                   -687,,                  3606,                 -2786,                 22426,,                    740,                 21686,                 21686,,,,,,                  1410,                 23096,,                 21214,                    472,,                 22525,                    571,,                              0.14,                              0.14,,                              0.14,                              0.14,                  1400,                     10,
3057,2012年01月01日至2012年12月31日,,,              3065670,,                 42525,              3108195,,,              1905047,              1905047,              1203148,              1203148,,,                323635,,                192291,,                535661,              1051587,                151561,,,                  6063,,                -26619,,                 13553,                -34109,                117452,,                 14699,                102753,                102753,,,,,,                -19255,                 83498,,                100714,                  2039,,                 82327,                  1171,,                              0.68,                              0.68,,                              0.64,                              0.64,                -17813,                              0,                 -1442
3057,2012年01月01日至2012年09月30日,,,              2309645,,                 35735,              2345380,,,              1456557,              1456557,                888823,                888823,,,                244482,,                141291,,                410453,                796226,                 92597,,,                  4559,,                -26445,,                 10758,                -32644,                 59953,,                  4623,                 55330,                 55330,,,,,,                -15057,                 40273,,                 53655,                  1675,,                 39393,                    880,,                              0.36,                              0.36,,                              0.36,                              0.36,                -15057,                              0,
3057,2012年01月01日至2012年06月30日,,,              1600642,,                 27938,              1628580,,,              1029662,              1029662,                598918,                598918,,,                168166,,                 91877,,                281521,                541564,                 57354,,,                  3238,,                -16636,,                  7436,                -20834,                 36520,,                  3783,                 32737,                 32737,,,,,,                 -7289,                 25448,,                 31592,                  1145,,                 24928,                    520,,                              0.21,                              0.21,,                              0.21,                              0.21,                 -7299,                     10,
3057,2012年01月01日至2012年03月31日,,,                784155,,                  7715,                791870,,,                502743,                502743,                289127,                289127,,,                 74294,,                 47237,,                135454,                256985,                 32142,,,                  1731,,                -15949,,                  3830,                -18048,                 14094,,                  3043,                 11051,                 11051,,,,,,                 -8699,                  2352,,                 10378,                    673,,                  2403,                    -51,,                              0.07,                              0.07,,                              0.06,                              0.06,                 -8699,,
